File,Formulas,Input Cells,Output Cells,AMOUNT of all  VBMdiags (size1),AMOUNT of all QDMdiags (size1),AMOUNT of all FDMdiags (size1),AMOUNT of all (minimal and not minimal) VBMdiags (size2),AMOUNT of all minimal QDMdiags (size2),AMOUNT of all minimal QDMdiags in all VBMdiags (size2),AMOUNT of all minimal FDMdiags (size2),AMOUNT of all minimal FDMdiags in all VBMdiags (size2),AMOUNT of all (minimal and not minimal) VBMdiags (size3),AMOUNT of all minimal QDMdiags (size3),AMOUNT of all minimal QDMdiags in all VBMdiags (size3),AMOUNT of all minimal FDMdiags (size3),AMOUNT of all minimal FDMdiags in all VBMdiags (size3),QDM: AMOUNT of all 2-supersets of 1-fault diagnosis,QDM: 2-supersets NOT in VBMdiags2,FDM: AMOUNT of all 2-supersets of 1-fault diagnosis,FDM: 2-supersets NOT in VBMdiags2,QDM: AMOUNT of all 3-supersets of 2-fault diagnosis,QDM: 3-supersets NOT in VBM diags3,FDM: AMOUNT of all 3-supersets of 2-fault diagnosis,FDM: 3-supersets NOT in VBM diags3,Column1
circuit20_15_2FAULTS_FAULTVERSION4.xlsx,63,673,4,2,20,20,122,361,0,399,0,3661,418,0,38,0,1049,903 (146 diagnoses from 1049 are in VBMdiags2),1049,903 (146 diagnoses from 1049 are in VBMdiags2),37910,29156 (8754 diagnoses from 37910 are in VBMdiags3),38767,29818 (8949 diagnoses from 38767 are in VBMdiags3),
circuit20_15_2FAULTS_FAULTVERSION5.xlsx,62,674,3,20,20,20,1085,399,56,417,56,28007,417,42,39,42,1029,0 (1029 diagnoses from 1029 are in VBMdiags2),1029,0 (1029 diagnoses from 1029 are in VBMdiags2),37338,2148 (35190 diagnoses from 37338 are in VBMdiags3),37717,1928 (35789 diagnoses from 37717 are in VBMdiags3),
circuit20_15_3FAULTS_FAULTVERSION1.xlsx,63,673,3,0,19,19,39,41,20,41,20,1674,21,0,21,0,1005,987 (18 diagnoses from 1005 are in VBMdiags2),1005,987 (18 diagnoses from 1005 are in VBMdiags2),27724,25878 (1846 diagnoses from 27724 are in VBMdiags3),27724,25878 (1846 diagnoses from 27724 are in VBMdiags3),
circuit20_15_3FAULTS_FAULTVERSION3.xlsx,63,673,3,0,0,19,42,840,42,252,4,2099,840,0,0,- (no 3-fault minimal FDMdiags) -,-,-,1007,944 (63 diagnoses from 1007 are in VBMdiags2),33050,28849 (4201 diagnoses from 33050 are in VBMdiags3),33928,28340 (5588 diagnoses from 33928 are in VBMdiags3),
circuit20_15_3FAULTS_FAULTVERSION4.xlsx,63,673,3,0,20,20,447,59,61,59,61,18337,20,0,20,0,1050,595 (455 diagnoses from 1050 are in VBMdiags2),1050,595 (455 diagnoses from 1050 are in VBMdiags2),29180,7033 (22147 diagnoses from 29180 are in VBMdiags3),29180,7033 (22147 diagnoses from 29180 are in VBMdiags3),
circuit20_15_3FAULTS_FAULTVERSION5.xlsx,62,674,3,0,0,19,40,800,40,230,2,1979,799,0,1,0,-,-,988,925 (63 diagnoses from 988 are in VBMdiags2),31201,27214 (3987 diagnoses from 31201 are in VBMdiags3),32037,26688 (5349 diagnoses from 32037 are in VBMdiags3),
circuit20_2_1FAULTS_FAULTVERSION1.xlsx,63,153,3,21,21,21,1148,399,57,419,57,29920,420,44,0,- (no 3-fault minimal FDMdiags) -,1091,0 (1091 diagnoses from 1091 are in VBMdiags2),1091,0 (1091 diagnoses from 1091 are in VBMdiags2),39229,1904 (37325 diagnoses from 39229 are in VBMdiags3),39650,1702 (37948 diagnoses from 39650 are in VBMdiags3),
circuit20_2_1FAULTS_FAULTVERSION2.xlsx,63,153,3,21,21,21,1130,400,39,420,39,29370,420,44,0,- (no 3-fault minimal FDMdiags) -,1091,0 (1091 diagnoses from 1091 are in VBMdiags2),1091,0 (1091 diagnoses from 1091 are in VBMdiags2),39249,2513 (36736 diagnoses from 39249 are in VBMdiags3),39670,2349 (37321 diagnoses from 39670 are in VBMdiags3),
circuit20_2_1FAULTS_FAULTVERSION3.xlsx,63,153,3,21,21,21,1165,399,74,419,74,30429,420,44,0,- (no 3-fault minimal FDMdiags) -,1091,0 (1091 diagnoses from 1091 are in VBMdiags2),1091,0 (1091 diagnoses from 1091 are in VBMdiags2),39229,1332 (37897 diagnoses from 39229 are in VBMdiags3),39650,1092 (38558 diagnoses from 39650 are in VBMdiags3),
circuit20_2_1FAULTS_FAULTVERSION4.xlsx,63,153,3,21,21,21,1129,399,38,419,38,29330,420,0,0,- (no 3-fault minimal FDMdiags) -,1091,0 (1091 diagnoses from 1091 are in VBMdiags2),1091,0 (1091 diagnoses from 1091 are in VBMdiags2),39229,2465 (36764 diagnoses from 39229 are in VBMdiags3),39650,2263 (37387 diagnoses from 39650 are in VBMdiags3),
circuit20_2_1FAULTS_FAULTVERSION5.xlsx,63,153,3,21,21,21,1165,399,74,419,74,30429,420,103,0,- (no 3-fault minimal FDMdiags) -,1091,0 (1091 diagnoses from 1091 are in VBMdiags2),1091,0 (1091 diagnoses from 1091 are in VBMdiags2),39229,2283 (36946 diagnoses from 39229 are in VBMdiags3),39650,2029 (37621 diagnoses from 39650 are in VBMdiags3),
circuit20_2_2FAULTS_FAULTVERSION4.xlsx,63,153,4,20,20,20,1085,361,36,399,36,28481,418,42,38,0,1049,0 (1049 diagnoses from 1049 are in VBMdiags2),1049,0 (1049 diagnoses from 1049 are in VBMdiags2),37910,2440 (35470 diagnoses from 37910 are in VBMdiags3),38767,2558 (36209 diagnoses from 38767 are in VBMdiags3),
circuit20_2_2FAULTS_FAULTVERSION5.xlsx,63,153,3,0,0,20,399,971,399,19,0,16758,747,1054,42,96,-,-,1050,593 (457 diagnoses from 1050 are in VBMdiags2),27251,6796 (20455 diagnoses from 27251 are in VBMdiags3),27978,7365 (20613 diagnoses from 27978 are in VBMdiags3),
circuit20_2_3FAULTS_FAULTVERSION1.xlsx,63,153,3,0,19,19,-,38,- (no 2-fault VBMdiags) -,38,- (no 2-fault VBMdiags) -,timeout,44,- (no 3-fault VBMdiags) timeout,44,- (no 3-fault VBMdiags) timeout,1007,- (no 2-fault VBMdiags),1007,- (no 2-fault VBMdiags),27702,- (no 3-fault VBMdiags),27702,- (no 3-fault VBMdiags),
circuit20_2_3FAULTS_FAULTVERSION2.xlsx,63,153,3,0,22,22,434,19,0,19,0,17905,20,46,20,46,1133,640 (493 diagnoses from 1133 are in VBMdiags2),1133,640 (493 diagnoses from 1133 are in VBMdiags2),29621,7690 (21931 diagnoses from 29621 are in VBMdiags3),29621,7690 (21931 diagnoses from 29621 are in VBMdiags3),
circuit20_2_3FAULTS_FAULTVERSION4.xlsx,63,153,3,0,21,21,63,229,3,229,3,3169,1,0,1,0,1092,980 (112 diagnoses from 1092 are in VBMdiags2),1092,980 (112 diagnoses from 1092 are in VBMdiags2),34540,25723 (8817 diagnoses from 34540 are in VBMdiags3),34540,25723 (8817 diagnoses from 34540 are in VBMdiags3),
circuit20_20_1FAULTS_FAULTVERSION1.xlsx,63,873,3,1,20,20,81,231,19,231,19,2860,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,1050,986 (64 diagnoses from 1050 are in VBMdiags2),1050,986 (64 diagnoses from 1050 are in VBMdiags2),33950,30400 (3550 diagnoses from 33950 are in VBMdiags3),33950,30400 (3550 diagnoses from 33950 are in VBMdiags3),
circuit20_20_1FAULTS_FAULTVERSION2.xlsx,63,873,3,20,20,20,1050,20,42,20,42,27831,21,90,21,90,1050,0 (1050 diagnoses from 1050 are in VBMdiags2),1050,0 (1050 diagnoses from 1050 are in VBMdiags2),28000,106 (27894 diagnoses from 28000 are in VBMdiags3),28000,106 (27894 diagnoses from 28000 are in VBMdiags3),
circuit20_20_1FAULTS_FAULTVERSION3.xlsx,63,873,3,20,20,20,1090,230,40,230,40,28608,1,2,1,2,1050,0 (1050 diagnoses from 1050 are in VBMdiags2),1050,0 (1050 diagnoses from 1050 are in VBMdiags2),33928,1541 (32387 diagnoses from 33928 are in VBMdiags3),33928,1541 (32387 diagnoses from 33928 are in VBMdiags3),
circuit20_20_1FAULTS_FAULTVERSION4.xlsx,63,873,3,1,1,1,479,779,418,798,418,18740,798,0,19,0,61,0 (61 diagnoses from 61 are in VBMdiags2),61,0 (61 diagnoses from 61 are in VBMdiags2),32439,6511 (25928 diagnoses from 32439 are in VBMdiags3),33219,6268 (26951 diagnoses from 33219 are in VBMdiags3),
circuit20_20_1FAULTS_FAULTVERSION5.xlsx,63,873,3,19,21,21,1026,19,40,19,40,27554,21,90,21,90,1092,66 (1026 diagnoses from 1092 are in VBMdiags2),1092,66 (1026 diagnoses from 1092 are in VBMdiags2),28820,1047 (27773 diagnoses from 28820 are in VBMdiags3),28820,1047 (27773 diagnoses from 28820 are in VBMdiags3),
circuit20_20_2FAULTS_FAULTVERSION1.xlsx,63,873,3,0,0,19,2,631,2,43,2,119,210,0,190,0,-,-,1007,1003 (4 diagnoses from 1007 are in VBMdiags2),23800,23497 (303 diagnoses from 23800 are in VBMdiags3),27831,27319 (512 diagnoses from 27831 are in VBMdiags3),
circuit20_20_2FAULTS_FAULTVERSION2.xlsx,63,873,3,0,20,20,timeout,20,- (no 2-fault VBMdiags) timeout,20,- (no 2-fault VBMdiags) timeout,timeout,21,- (no 3-fault VBMdiags) timeout,21,- (no 3-fault VBMdiags) timeout,1050,- (no 2-fault VBMdiags),1050,- (no 2-fault VBMdiags),28000,- (no 3-fault VBMdiags),28000,- (no 3-fault VBMdiags),
circuit20_20_2FAULTS_FAULTVERSION3.xlsx,63,873,3,0,20,20,39,20,1,20,1,2063,21,4,21,4,1050,1007 (43 diagnoses from 1050 are in VBMdiags2),1050,1007 (43 diagnoses from 1050 are in VBMdiags2),28000,25243 (2757 diagnoses from 28000 are in VBMdiags3),28000,25243 (2757 diagnoses from 28000 are in VBMdiags3),
circuit20_20_2FAULTS_FAULTVERSION4.xlsx,63,875,6,2,18,63,122,289,0,0,- (no 2-fault minimal FDMdiags) -,3661,409,0,0,- (no 3-fault minimal FDMdiags) -,962,824 (138 diagnoses from 962 are in VBMdiags2),1953,1694 (259 diagnoses from 1953 are in VBMdiags2),34895,28922 (5973 diagnoses from 34895 are in VBMdiags3),39711,25243 (2757 diagnoses from 28000 are in VBMdiags3),
circuit20_20_2FAULTS_FAULTVERSION5.xlsx,63,873,3,0,22,22,timeout,19,- (no 2-fault VBMdiags) timeout,19,- (no 2-fault VBMdiags) timeout,timeout,20,- (no 3-fault VBMdiags) timeout,20,- (no 3-fault VBMdiags) timeout,1133,- (no 2-fault VBMdiags),1133,- (no 2-fault VBMdiags),29621,- (no 3-fault VBMdiags),29621,- (no 3-fault VBMdiags),
circuit20_20_3FAULTS_FAULTVERSION2.xlsx,63,873,3,0,19,19,-,41,- (no 2-fault VBMdiags) -,41,- (no 2-fault VBMdiags) -,timeout,21,- (no 3-fault VBMdiags) timeout,21,- (no 3-fault VBMdiags) timeout,1007,- (no 2-fault VBMdiags),1007,- (no 2-fault VBMdiags),27769,- (no 3-fault VBMdiags),27769,- (no 3-fault VBMdiags),
circuit20_20_3FAULTS_FAULTVERSION3.xlsx,63,873,3,0,21,21,3,230,1,230,1,181,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,1092,1090 (2 diagnoses from 1092 are in VBMdiags2),1092,1090 (2 diagnoses from 1092 are in VBMdiags2),34561,34250 (311 diagnoses from 34561 are in VBMdiags3),34561,34250 (311 diagnoses from 34561 are in VBMdiags3),
circuit3_2_1FAULTS_FAULTVERSION3.xlsx,12,34,3,1,3,3,17,10,5,10,5,109,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,30,18 (12 diagnoses from 30 are in VBMdiags2),30,18 (12 diagnoses from 30 are in VBMdiags2),192,83 (109 diagnoses from 192 are in VBMdiags3),192,83 (109 diagnoses from 192 are in VBMdiags3),
circuit3_2_1FAULTS_FAULTVERSION4.xlsx,12,34,3,1,1,1,23,14,12,16,12,151,16,14,2,0,11,0 (11 diagnoses from 11 are in VBMdiags2),11,0 (11 diagnoses from 11 are in VBMdiags2),149,12 (137 diagnoses from 149 are in VBMdiags3),163,12 (151 diagnoses from 163 are in VBMdiags3),
circuit3_2_1FAULTS_FAULTVERSION5.xlsx,12,34,3,3,3,3,30,3,0,3,0,155,4,4,4,4,30,0 (30 diagnoses from 30 are in VBMdiags2),30,0 (30 diagnoses from 30 are in VBMdiags2),154,3 (151 diagnoses from 154 are in VBMdiags3),154,3 (151 diagnoses from 154 are in VBMdiags3),
circuit3_2_2FAULTS_FAULTVERSION1.xlsx,12,34,3,1,3,3,15,10,4,10,4,89,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,30,19 (11 diagnoses from 30 are in VBMdiags2),30,19 (11 diagnoses from 30 are in VBMdiags2),192,103 (89 diagnoses from 192 are in VBMdiags3),192,103 (89 diagnoses from 192 are in VBMdiags3),
circuit3_2_2FAULTS_FAULTVERSION3.xlsx,12,34,4,0,0,0,3,7,3,9,3,45,21,13,14,4,-,-,-,-,59,27 (32 diagnoses from 59 are in VBMdiags3),76,35 (41 diagnoses from 76 are in VBMdiags3),
circuit3_2_2FAULTS_FAULTVERSION5.xlsx,12,34,3,0,0,2,4,15,4,5,4,78,9,6,5,4,-,-,21,21 (0 diagnoses from 21 are in VBMdiags2),114,42 (72 diagnoses from 114 are in VBMdiags3),130,56 (74 diagnoses from 130 are in VBMdiags3),
circuit3_2_3FAULTS_FAULTVERSION1.xlsx,11,35,3,0,2,2,9,9,4,10,4,73,11,4,5,2,19,14 (5 diagnoses from 19 are in VBMdiags2),19,14 (5 diagnoses from 19 are in VBMdiags2),132,63 (69 diagnoses from 132 are in VBMdiags3),138,67 (71 diagnoses from 138 are in VBMdiags3),
circuit3_2_3FAULTS_FAULTVERSION2.xlsx,12,34,3,1,3,3,13,10,2,10,2,76,0,- (no 3-fault minimal QDMdiags) -,0,- (no 3-fault minimal FDMdiags) -,30,19 (11 diagnoses from 30 are in VBMdiags2),30,19 (11 diagnoses from 30 are in VBMdiags2),192,116 (76 diagnoses from 192 are in VBMdiags3),192,116 (76 diagnoses from 192 are in VBMdiags3),
circuit3_2_3FAULTS_FAULTVERSION3.xlsx,12,34,3,0,2,2,-,4,- (no 2-fault VBMdiags) -,4,- (no 2-fault VBMdiags) -,38,4,4,4,4,21,- (no 2-fault VBMdiags),21,- (no 2-fault VBMdiags),126,92 (34 diagnoses from 126 are in VBMdiags3),126,92 (34 diagnoses from 126 are in VBMdiags3),
circuit3_2_3FAULTS_FAULTVERSION4.xlsx,12,34,4,0,2,2,14,7,4,10,4,104,3,0,0,- (no 3-fault minimal FDMdiags) -,21,11 (10 diagnoses from 21 are in VBMdiags2),21,11 (10 diagnoses from 21 are in VBMdiags2),148,44 (104 diagnoses from 148 are in VBMdiags3),166,62 (104 diagnoses from 166 are in VBMdiags3),
circuit3_2_3FAULTS_FAULTVERSION5.xlsx,11,35,3,0,0,2,5,16,5,7,3,67,27,21,6,6,-,-,19,17 (2 diagnoses from 19 are in VBMdiags2),94,48 (46 diagnoses from 94 are in VBMdiags3),117,56 (61 diagnoses from 117 are in VBMdiags3),
